,Open,High,Low,Close,Adj Close,Volume,Sma20,Sma50,Sma100,Sma200,Rsi
2020-03-31 22:00:00+00:00,6452.22509765625,6452.22509765625,6417.8681640625,6429.587890625,6429.587890625,0,,,,,
2020-04-01 00:00:00+00:00,6436.34765625,6439.6796875,6335.18603515625,6337.642578125,6337.642578125,354908160,,,,,
2020-04-01 01:00:00+00:00,6333.17578125,6337.634765625,6314.9873046875,6320.71484375,6320.71484375,0,,,,,
2020-04-01 02:00:00+00:00,6318.69287109375,6331.59912109375,6313.87646484375,6326.791015625,6326.791015625,0,,,,,
2020-04-01 03:00:00+00:00,6328.994140625,6369.908203125,6327.880859375,6369.908203125,6369.908203125,0,,,,,
2020-04-01 04:00:00+00:00,6372.0908203125,6372.0908203125,6349.6611328125,6353.56103515625,6353.56103515625,0,,,,,
2020-04-01 05:00:00+00:00,6353.7705078125,6353.7705078125,6321.09326171875,6327.11767578125,6327.11767578125,313649152,,,,,
2020-04-01 06:00:00+00:00,6332.708984375,6336.150390625,6311.45361328125,6320.6982421875,6320.6982421875,281423872,,,,,
2020-04-01 07:00:00+00:00,6319.15673828125,6344.14892578125,6314.83349609375,6338.578125,6338.578125,331692032,,,,,
2020-04-01 08:00:00+00:00,6341.57421875,6341.57421875,6309.5068359375,6341.25732421875,6341.25732421875,33832960,,,,,
2020-04-01 09:00:00+00:00,6345.8388671875,6354.65185546875,6340.41748046875,6348.8232421875,6348.8232421875,187058176,,,,,
2020-04-01 10:00:00+00:00,6352.3466796875,6365.34375,6345.60009765625,6345.60009765625,6345.60009765625,29435904,,,,,
2020-04-01 11:00:00+00:00,6352.54443359375,6352.54443359375,6335.47265625,6346.84326171875,6346.84326171875,0,,,,,
2020-04-01 12:00:00+00:00,6343.564453125,6351.35595703125,6272.47021484375,6272.47021484375,6272.47021484375,114173952,,,,,
2020-04-01 13:00:00+00:00,6274.3369140625,6276.3212890625,6232.54931640625,6237.86376953125,6237.86376953125,127236096,,,,,19.804977103487566
2020-04-01 14:00:00+00:00,6239.39599609375,6274.11328125,6237.0263671875,6270.7392578125,6270.7392578125,260861952,,,,,30.993313766979202
2020-04-01 15:00:00+00:00,6270.97412109375,6274.79296875,6264.478515625,6268.056640625,6268.056640625,0,,,,,30.617938861261425
2020-04-01 16:00:00+00:00,6264.83740234375,6266.81591796875,6203.76416015625,6203.76416015625,6203.76416015625,67016704,,,,,23.326247667404502
2020-04-01 17:00:00+00:00,6208.1416015625,6233.91259765625,6203.5009765625,6219.80322265625,6219.80322265625,202733568,,,,,27.936963490961396
2020-04-01 18:00:00+00:00,6226.25146484375,6226.63134765625,6217.71435546875,6222.69482421875,6222.69482421875,0,6310.12578125,,,,28.768607052543572
2020-04-01 19:00:00+00:00,6223.7177734375,6226.29052734375,6208.24755859375,6221.560546875,6221.560546875,0,6299.7244140625,,,,28.629035509783925
2020-04-01 20:00:00+00:00,6227.7001953125,6339.43701171875,6225.2080078125,6331.5126953125,6331.5126953125,1662455808,6299.417919921875,,,,52.62346707056266
2020-04-01 21:00:00+00:00,6332.7392578125,6368.77978515625,6332.7392578125,6343.60107421875,6343.60107421875,761405440,6300.562231445312,,,,54.43709957358011
2020-04-01 22:00:00+00:00,6346.5498046875,6450.38720703125,6340.8984375,6372.05419921875,6372.05419921875,1785565184,6302.825390625,,,,58.46726723235507
2020-04-01 23:00:00+00:00,6360.59228515625,6606.7763671875,6360.59228515625,6606.7763671875,6606.7763671875,3216580608,6314.668798828125,,,,76.74298737659127
2020-04-02 00:00:00+00:00,6618.5556640625,6675.70166015625,6611.37255859375,6623.29052734375,6623.29052734375,524558336,6328.1552734375,,,,77.4933679297806
2020-04-02 01:00:00+00:00,6618.9716796875,6625.70361328125,6611.75341796875,6614.2109375,6614.2109375,338849792,6342.509936523437,,,,76.04069402393941
2020-04-02 02:00:00+00:00,6598.0478515625,6625.60498046875,6598.0478515625,6625.60498046875,6625.60498046875,665141248,6357.7552734375,,,,76.63267653371612
2020-04-02 03:00:00+00:00,6617.5322265625,6622.13134765625,6603.486328125,6608.4697265625,6608.4697265625,0,6371.249853515625,,,,73.6841431193922
2020-04-02 04:00:00+00:00,6626.7236328125,6629.4033203125,6615.318359375,6617.93896484375,6617.93896484375,0,6385.083935546875,,,,74.27323949067322
